metric,point_estimate,mean_bootstrap,ci_lower_95,ci_upper_95,std_bootstrap
accuracy,0.9721804511278196,0.9721169172932331,0.9631390977443609,0.9804511278195489,0.004549379520738005
precision_macro,0.9722276279764037,0.972178008028645,0.9631118622073833,0.9804199192648861,0.004483768381365896
recall_macro,0.9721804511278197,0.9721547495392396,0.962855586478569,0.9804557385163597,0.004436208386466902
f1_macro,0.9721198768844227,0.9720301032727616,0.9627611832942071,0.9803487866123842,0.004484426282770314
precision_weighted,0.9722276279764037,0.9722697874382524,0.9631645981112362,0.9805590360807807,0.004519481379890679
recall_weighted,0.9721804511278196,0.9721169172932331,0.9631390977443609,0.9804511278195489,0.004549379520738005
f1_weighted,0.9721198768844228,0.9720572913524751,0.9628480354972464,0.9804327941679313,0.004568211641055906
