accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
0.9571428571428572,0.9577457678720587,0.9574631774631776,0.9572731255899619,0.9573152118685095,0.9571428571428572,0.9568974209417302
0.9661654135338346,0.9660350537766217,0.9669107316188359,0.9660994176597448,0.9665349845755926,0.9661654135338346,0.9659696772910876
0.9766917293233083,0.9768942991554924,0.9765393921611152,0.9765668766770486,0.9767671548562655,0.9766917293233083,0.9765804814683935
0.9736842105263158,0.9740043389805259,0.9739960421523502,0.9737859321933318,0.9738595423599992,0.9736842105263158,0.9735563644212599
0.9654135338345865,0.9671345356703196,0.9675260334577303,0.9672010915620767,0.9654348208760767,0.9654135338345865,0.9652914137581826
0.9631578947368421,0.9639391209886551,0.9644504288201767,0.9640437999617832,0.963249238069979,0.9631578947368421,0.9630476995986477
0.9721804511278196,0.971418940762705,0.9712061967994552,0.9712492030010565,0.9721825337643144,0.9721804511278196,0.972119580246373
0.975187969924812,0.9750659986453345,0.9753741535565412,0.9750540139475596,0.9755602553188769,0.975187969924812,0.9752106736964269
0.9699248120300752,0.971647245176657,0.9707924036654976,0.9710137089882327,0.9701484565814509,0.9699248120300752,0.9698238020659019
0.975187969924812,0.975222931173046,0.97542241421849,0.9752812409374698,0.9751226052186075,0.975187969924812,0.9751133064890033
0.9766917293233083,0.9774182015572258,0.9769473746324973,0.9771154771408226,0.97676683270443,0.9766917293233083,0.9766641112772227
0.9714285714285714,0.9718677610796471,0.9731185800151317,0.972388687898397,0.9714284687701489,0.9714285714285714,0.9713193059919768
0.981203007518797,0.9808427906896723,0.9809526158845774,0.9808754494760162,0.9811816200108759,0.981203007518797,0.9811700621119879
0.9759398496240601,0.9761217786123041,0.975659590089542,0.9757707597876945,0.9760665221172768,0.9759398496240601,0.9758841634208083
0.9676691729323308,0.9688218375383931,0.9688174460431653,0.9686941108162801,0.9677629141964218,0.9676691729323308,0.9675869316583868
0.9706766917293234,0.9701156872069132,0.9702726242011955,0.9700129292138737,0.9708141872040399,0.9706766917293234,0.9705637598953781
0.9729323308270676,0.9727306274036094,0.9722502394566511,0.9724012350003328,0.9729826165090604,0.9729323308270676,0.9728685229267902
0.969172932330827,0.9696775440608887,0.9701287237426236,0.9695104616919382,0.9695489864547749,0.969172932330827,0.9689573302394116
0.9774436090225563,0.9775647062849565,0.9773258399209486,0.9774041480947402,0.9774676193352938,0.9774436090225563,0.9774148428216214
0.9781954887218045,0.9779815393498176,0.9781917228749404,0.978018138702668,0.9781686194909359,0.9781954887218045,0.9781142119536168
0.9676691729323308,0.968433877453289,0.9678448618564897,0.9680112172521529,0.9677714613677184,0.9676691729323308,0.9675929281430917
0.9759398496240601,0.9758467176382395,0.9760528809172453,0.975849134382851,0.9760574050446115,0.9759398496240601,0.9758984930183889
0.968421052631579,0.9681982101207602,0.9698777607405201,0.9687164282718193,0.9688958929569366,0.968421052631579,0.9683316319310719
0.9729323308270676,0.9736071782248252,0.972992587362253,0.9732678424943684,0.9730441122222414,0.9729323308270676,0.9729583551780482
0.9721804511278196,0.9726628557201312,0.9725534563196602,0.9724918034156349,0.9720847001121508,0.9721804511278196,0.9720167321775086
0.9781954887218045,0.9788519129231681,0.9777222469330654,0.9780314299173154,0.9786856458958206,0.9781954887218045,0.978187778390367
0.9714285714285714,0.9714679776352317,0.9708525861852957,0.9710805100850362,0.9714642899713837,0.9714285714285714,0.9713681899177792
0.9721804511278196,0.9731195081718724,0.9728930545067829,0.9729047793931767,0.9722841333589682,0.9721804511278196,0.9721281488027249
0.9714285714285714,0.9710689467641551,0.9707824093273146,0.9708047967965141,0.9714479897247499,0.9714285714285714,0.9713177236862788
0.975187969924812,0.9750462901385809,0.9749803847723065,0.9748437977249065,0.9754709968842655,0.975187969924812,0.9751602214857493
